,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
67900,67901,2014457604.0,201446000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10:00.0,,8/30/2014 12:23,I25 HWYNB / W 23RD AVE,3135940.0,1698910.0,-105.01652959999998,39.75131993,1.0,123.0,Jefferson Park,0.0,0.0,GUARD RAIL,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,CHANGING LANES,RECKLESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,MOTORCYCLE,DUI/DWAI/DUID
67990,67991,2014459503.0,201446000000000.0,5441,0,TRAF - ACCIDENT               ,8/31/2014 10:35,,8/31/2014 11:40,I25 HWYNB / PARK AVEW,3141968.0,1705025.0,-104.99497050000001,39.76801657,1.0,112.0,Globeville,0.0,0.0,REAR TO REAR WITH MV IN TRANSPORT,GUARD RAIL,GUARD RAIL,ON ROADWAY,HIGHWAY INTERCHANGE,CURVE ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,NORTH,WEAVING,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,AGGRESSIVE DRIVING
68023,68024,2014623168.0,201462000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,11/22/2014 22:20,,11/22/2014 22:20,3500 BLOCK PARK AVE,3142251.0,1704457.0,-104.9939751,39.766453000000006,1.0,112.0,Globeville,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,LIGHT/UTILITY POLE,LIGHT/UTILITY POLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,SOUTHEAST,MAKING LEFT TURN,FAILED TO YIELD ROW,DISTRACTED-OTHER,  ,PASSENGER CAR/VAN,NORTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,PASSENGER CAR/VAN,DISTRACTED
68079,68080,2014446409.0,201445000000000.0,5441,0,TRAF - ACCIDENT               ,8/24/2014 18:20,,8/24/2014 19:24,E 35TH AVE / N COLORADO BLVD,3157265.0,1704260.0,-104.94057190000001,39.76567051,2.0,212.0,Clayton,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,OTHER,WEST,GOING STRAIGHT,  ,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,OTHER,  ,NO APPARENT
68207,68208,2014581481.0,201458000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,54:00.0,,10:00.0,2000 BLOCK S UNIVERSITY BLVD,3152279.0,1673014.0,-104.9589697,39.6799772,3.0,314.0,University Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,WEST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
68208,68209,2014581569.0,201458000000000.0,5441,0,TRAF - ACCIDENT               ,11/1/2014 2:37,,11/1/2014 2:37,E COLFAX AVE / N DOWNING ST,3148176.0,1694866.0,-104.9730966,39.74003165,6.0,623.0,Capitol Hill,0.0,0.0,REAR TO SIDE WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
68271,68272,2014535391.0,201454000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10/8/2014 21:55,,10/8/2014 22:15,4300 BLOCK MORRISON RD,3128230.0,1681281.0,-105.0442642,39.70303421,4.0,412.0,Westwood,0.0,3.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,SOUTHWEST,GOING STRAIGHT,RECKLESS DRIVING,NO APPARENT,  ,  ,  ,  ,  ,  ,OTHER,2.0,0.0,  ,  ,PEDESTRIAN,OTHER,NO APPARENT
68290,68291,2014567219.0,201457000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,10/25/2014 1:22,,10/25/2014 1:51,200 BLOCK W COLFAX AVE,3143142.0,1694804.0,-104.990998,39.73994024,6.0,611.0,Civic Center,0.0,0.0,LIGHT/UTILITY POLE,  ,LIGHT/UTILITY POLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,VEHICLE OVER 10000 LBS,EAST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,VEHICLE OVER 10000 LBS,  ,DUI/DWAI/DUID
68301,68302,2014597600.0,201460000000000.0,5441,0,TRAF - ACCIDENT               ,11/9/2014 8:50,,11/9/2014 8:50,I70 HWYWB / N CENTRAL PARK BLVD,3173428.0,1708597.0,-104.88297320000001,39.77728886,5.0,511.0,Stapleton,0.0,0.0,HIGHWAY BARRIER,FRONT TO REAR WITH MV IN TRANSPORT,HIGHWAY BARRIER,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,WEAVING,CARELESS DRIVING,ILLNESS/MEDICAL,  ,SUV,WEST,PARKED,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
68334,68335,2014121307.0,201412000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,3/9/2014 15:47,,3/9/2014 16:11,1500 BLOCK N WABASH ST,3171753.0,1695391.0,-104.8892483,39.7410676,2.0,223.0,East Colfax,0.0,0.0,WALL OR BUILDING,  ,WALL OR BUILDING,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,NORTH,MAKING LEFT TURN,CARELESS DRIVING,DRIVER INEXPERIENCE,OTHER,  ,  ,  ,  ,  ,  ,0.0,1.0,MOTORCYCLE,  ,  ,  ,DRIVER INEXPERIENCE
68344,68345,2014133541.0,201413000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,3/15/2014 21:13,,3/15/2014 22:32,S SHERIDAN BLVD / W EVANS AVE,3125740.0,1672571.0,-105.0532659,39.67915714,4.0,421.0,Harvey Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,EAST,GOING STRAIGHT,OTHER,NO APPARENT,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,SOUTH,MAKING LEFT TURN,OTHER,NO APPARENT,  ,0.0,1.0,OTHER,  ,  ,  ,NO APPARENT
68388,68389,2014583204.0,201458000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,11/1/2014 22:45,,23:00.0,I25 HWYNB / W COLFAX AVE,3136682.0,1694949.0,-105.01396609999999,39.74043541,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,CURVE ON-LEVEL,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,NORTH,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,NO APPARENT,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
68395,68396,2014598949.0,201460000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,11/10/2014 0:25,,11/10/2014 0:36,S XAVIER ST / W WARREN AVE,3126807.0,1671636.0,-105.0494915,39.67657586,4.0,421.0,Harvey Park,0.0,0.0,PARKED MV WITH OTHER VEHICLE,  ,PARKED MV WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
68411,68412,2014645781.0,201465000000000.0,5441,0,TRAF - ACCIDENT               ,12/5/2014 18:20,,12/5/2014 19:17,E QUINCY AVE / S QUEBEC ST,3167847.0,1658062.0,-104.90400840000001,39.63866278,3.0,324.0,Hampden South,0.0,0.0,OVERTURNING-NONCOLLISION,OVERTURNING-NONCOLLISION,OVERTURNING-NONCOLLISION,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,ILLNESS/MEDICAL,  ,PASSENGER CAR/VAN,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,ILLNESS/MEDICAL
68438,68439,20148034263.0,2014800000000000.0,5441,0,TRAF - ACCIDENT               ,2/5/2014 8:50,,55:00.0,8400 PENA BLVD,3231977.0,1735292.0,-104.67381230000001,39.84929165,7.0,759.0,DIA,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,WET,DAY LIGHT,PASSENGER CAR/VAN,WEST,OTHER,CARELESS DRIVING,DISTRACTED-OTHER,  ,PASSENGER CAR/VAN,EAST,PARKED,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
68494,68495,2014570554.0,201457000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10:00.0,,10/26/2014 20:48,E YALE AVE / S FRANKLIN ST,3149540.0,1668510.0,-104.96879440000001,39.66765701,3.0,313.0,University,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,MOTORCYCLE,WEST,PASSING,IMPROPER PASSING ON LEFT,NO APPARENT,  ,SUV,WEST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,NO APPARENT
68515,68516,2014673502.0,201467000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/20/2014 17:14,,12/20/2014 17:14,W 9TH AVE / N FEDERAL BLVD,3133552.0,1691566.0,-105.02515890000002,39.73119387,1.0,122.0,Villa Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,EAST,  ,  ,  ,CROSS/ENTER AT INTERSECTION,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
68558,68559,2014509398.0,201451000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,9/25/2014 22:35,,9/25/2014 22:35,15TH ST / PLATTE ST,3137969.0,1700793.0,-105.0092774,39.75645922,1.0,113.0,Highland,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,SOUTHWEST,MAKING LEFT TURN,FAILED TO STOP AT SIGNAL,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,NORTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,AGGRESSIVE DRIVING
68637,68638,2014538701.0,201454000000000.0,5441,0,TRAF - ACCIDENT               ,10/10/2014 17:13,,10/10/2014 17:40,1900 BLOCK S FEDERAL BLVD,3133706.0,1673424.0,-105.0249486,39.68138789,4.0,422.0,College View - South Platte,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED PASSENGER,  ,PICKUP TRUCK/UTILITY VAN,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DISTRACTED
68644,68645,2014509825.0,201451000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,55:00.0,,55:00.0,1400 BLOCK S FEDERAL BLVD,3133784.0,1676773.0,-105.0246092,39.69058057,4.0,422.0,Ruby Hill,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,  ,  ,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
68762,68763,2014610851.0,201461000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12:00.0,,11/16/2014 16:46,N QUEBEC ST / E 14TH AVE,3167760.0,1694502.0,-104.90346770000001,39.73869998,2.0,223.0,Montclair,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,PASSENGER CAR/VAN,NORTH,WEAVING,RECKLESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
68782,68783,2014665351.0,201467000000000.0,5441,0,TRAF - ACCIDENT               ,12/16/2014 8:30,,12/16/2014 10:29,I70 HWYEB / I25 HWYSB,3143465.0,1709438.0,-104.9895571,39.78010793,1.0,112.0,Globeville,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,HIGHWAY INTERCHANGE,CURVE ON-GRADE,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED RADIO,  ,PICKUP TRUCK/UTILITY VAN,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,DISTRACTED
68824,68825,2014466676.0,201447000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,9/4/2014 2:13,,9/4/2014 4:19,2000 BLOCK CHAMPA ST,3143840.0,1698718.0,-104.9884377,39.75067409,6.0,611.0,Five Points,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,HIT AND RUN UNKNOWN,SOUTH,OTHER,  ,OTHER,  ,OTHER,  ,  ,  ,  ,STANDING IN ROADWAY,1.0,0.0,  ,  ,OTHER,  ,OTHER
69018,69019,2014401570.0,201440000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,8/2/2014 6:35,,8/2/2014 6:35,W 8TH AVE / N WYANDOT ST,3136697.0,1690899.0,-105.0139898,39.72931717,1.0,123.0,Lincoln Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,NO APPARENT
69045,69046,201537085.0,20153700000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,1/20/2015 7:51,,1/20/2015 7:51,E 38TH AVE / N QUEBEC ST,3167679.0,1705640.0,-104.9034956,39.76927693,2.0,221.0,Northeast Park Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,OVERTURNING-NONCOLLISION,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY WITH VISIBLE ICY ROAD TREATMENT,DAY LIGHT,SUV,EAST,GOING STRAIGHT,DISREGARD STOP SIGN,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,1.0,SUV,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
69114,69115,201521394.0,20152100000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/12/2015 9:25,,1/12/2015 10:11,E COLFAX AVE / N MONACO ST,3165131.0,1695014.0,-104.91280400000001,39.74015253,2.0,222.0,Montclair,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,2.0,0.0,  ,  ,OTHER,OTHER,NO APPARENT
69127,69128,2014446583.0,201445000000000.0,5441,0,TRAF - ACCIDENT               ,8/24/2014 20:16,,39:00.0,S SHERIDAN BLVD / W QUINCY AVE,3125808.0,1658223.0,-105.053275,39.6397671,4.0,423.0,Fort Logan,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,NORTH,MAKING LEFT TURN,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING
69242,69243,2014509866.0,201451000000000.0,5441,0,TRAF - ACCIDENT               ,9/26/2014 6:55,,9/26/2014 7:23,W ALAMEDA AVE / S PECOS ST,3138903.0,1684305.0,-105.00627420000001,39.71118264,4.0,412.0,Athmar Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV WITH TRAILER,EAST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,SUV WITH TRAILER,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV WITH TRAILER,  ,DISTRACTED
69320,69321,201523399.0,20152300000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,1/13/2015 10:40,,1/13/2015 11:24,E 22ND AVE / N NEWPORT ST,3166073.0,1698542.0,-104.90937290000001,39.74982069,2.0,223.0,South Park Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,SOUTH,MAKING U-TURN,LANE VIOLATION,OTHER,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,OTHER
69336,69337,2014533081.0,201453000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10/7/2014 18:07,,10/7/2014 18:33,S COLORADO BLVD / E CHERRY CREEK N DR,3157347.0,1683013.0,-104.94074540000001,39.70734239,3.0,311.0,Belcaro,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,SOUTH,GOING STRAIGHT,RECKLESS DRIVING,AGGRESSIVE DRIVING,OTHER,SUV,WEST,MAKING LEFT TURN,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,MOTORCYCLE,  ,AGGRESSIVE DRIVING
69511,69512,201524416.0,20152400000000.0,5441,1,TRAF - ACCIDENT - SBI         ,40:00.0,,1/13/2015 21:46,S ULSTER ST / E UNION AVE,3170349.0,1654715.0,-104.8952037,39.62942898,3.0,324.0,Hampden South,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,LANE VIOLATION,DUI/DWAI/DUID,  ,TRANSIT BUS,NORTH,PARKED,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,DUI/DWAI/DUID
69564,69565,201540267.0,20154000000000.0,5441,0,TRAF - ACCIDENT               ,1/21/2015 19:35,,1/21/2015 19:43,W FLORIDA AVE / S WOLCOTT WAY,3126921.0,1676354.0,-105.04900330000001,39.68952638,4.0,421.0,Mar Lee,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,ICY,DARK-LIGHTED,SUV,EAST,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,3.0,0.0,  ,  ,SUV,PASSENGER CAR/VAN,AGGRESSIVE DRIVING
69598,69599,201511720.0,20151200000000.0,5441,0,TRAF - ACCIDENT               ,1/7/2015 9:05,,1/7/2015 9:28,4600 BLOCK N PEORIA ST,3183677.0,1709609.0,-104.84648440000001,39.77987018,5.0,521.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,ICY,DAY LIGHT,SUV,SOUTH,MAKING LEFT TURN,IMPROPER TURN,NO APPARENT,OTHER,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
69623,69624,201525434.0,20152500000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/14/2015 12:50,,1/14/2015 13:13,2800 BLOCK LARIMER ST,3145430.0,1702285.0,-104.9827108,39.76044137,2.0,211.0,Five Points,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTHEAST,MAKING LEFT TURN,CARELESS DRIVING,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
69658,69659,2014661791.0,201466000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/14/2014 3:25,,12/14/2014 3:25,N BROADWAY ST / E SPEER BLVD,3144172.0,1689975.0,-104.9874324,39.72666783,3.0,123.0,Lincoln Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,DISREGARDED OTHER DEVICE,DISTRACTED-OTHER,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DISTRACTED
69673,69674,201542249.0,20154200000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,1/22/2015 18:31,,1/22/2015 19:01,4400 BLOCK S QUEBEC ST,3168627.0,1657308.0,-104.90125649999999,39.63657877,3.0,324.0,Hampden South,0.0,0.0,TREE,  ,TREE,VEHICLE CROSSED CENTER MEDIAN INTO OPPOSING LANES,NON INTERSECTION,CURVE ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
