,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR,INJURY
124421,124422,2017124906.0,201712000000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2017 8:25,,2/23/2017 8:31,E 13TH AVE / N MADISON ST,3155753.0,1693723.0,-104.9461788,39.73677019,2.0,213.0,Congress Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,DRIVER UNFAMILIAR WITH AREA,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DRIVER UNFAMILIAR WITH AREA,0
124422,124423,2017124921.0,201712000000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2017 8:20,,2/23/2017 8:51,E 17TH AVE / N FRANKLIN ST,3149476.0,1696041.0,-104.9684496,39.74323644,6.0,622.0,City Park West,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
121004,121005,2017113152.0,201711000000000.0,5441,0,TRAF - ACCIDENT               ,2/18/2017 9:30,,2/18/2017 9:55,W COLFAX AVE / N FEDERAL BLVD,3133517.0,1694947.0,-105.0252205,39.74047586,1.0,121.0,West Colfax,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,  ,  ,PICKUP TRUCK/UTILITY VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
124431,124432,2017125253.0,201713000000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2017 11:20,,2/23/2017 11:41,2200 BLOCK N BROADWAY ST,3144151.0,1699785.0,-104.9873102,39.75359837,6.0,621.0,Five Points,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,VEHICLE OVER 10000 LBS,NORTH,ENTERING/LEAVING PARKED POSITION,OTHER,NO APPARENT,  ,VEHICLE OVER 10000 LBS,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120978,120979,201791740.0,20179200000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 16:26,,2/9/2017 16:56,I70 HWYWB / N MONACO ST,3165019.0,1708949.0,-104.91288200000001,39.77840814,2.0,221.0,Northeast Park Hill,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,SUV,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120977,120978,201791704.0,20179200000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 16:10,,38:00.0,S WADSWORTH BLVD / W LAYTON AVE,3117820.0,1654681.0,-105.0816966,39.63014767,4.0,423.0,Marston,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHEAST,STOPPED IN TRAFFIC,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,SUV,NORTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DISTRACTED,0
120976,120977,201791660.0,20179200000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2/9/2017 15:50,,2/9/2017 15:57,E ANDREWS DR / N TITAN CT,3185945.0,1711705.0,-104.83836090000001,39.78557886,5.0,521.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DUI/DWAI/DUID,  ,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DUI/DWAI/DUID,0
120975,120976,201791642.0,20179200000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 15:48,,2/9/2017 15:48,W ALAMEDA AVE / S SANTA FE DR,3141472.0,1684323.0,-104.9971426,39.71119337,3.0,312.0,Baker,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120974,120975,201791439.0,20179100000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/9/2017 13:34,,2/9/2017 14:16,8210 E NORTHFIELD BLVD,3170770.0,1711031.0,-104.8923717,39.78401967,5.0,511.0,Stapleton,0.0,0.0,PARKED MV WITH OTHER VEHICLE,  ,  ,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,NORTHWEST,GOING STRAIGHT,LANE VIOLATION,NO APPARENT,  ,PASSENGER CAR/VAN,NORTHWEST,PARKED,OTHER,  ,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120973,120974,201791408.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 14:00,,2/9/2017 14:00,E 17TH AVE / N CLARKSON ST,3146918.0,1696034.0,-104.97754599999999,39.74325796,6.0,621.0,North Capitol Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120972,120973,201791322.0,20179100000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/9/2017 8:35,,38:00.0,E 56TH AVE / N TOWER RD,3204523.0,1716482.0,-104.77212220000001,39.79830213,5.0,522.0,Gateway - Green Valley Ranch,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,WEST,CHANGING LANES,LANE VIOLATION,NO APPARENT,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
124432,124433,2017125300.0,201713000000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2017 11:51,,2/23/2017 12:16,1200 BLOCK E ILIFF AVE,3148375.0,1671109.0,-104.97287920000001,39.67481053,3.0,313.0,University,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,PASSENGER CAR/VAN,WEST,CHANGING LANES,LANE VIOLATION,DRIVER UNFAMILIAR WITH AREA,  ,PASSENGER CAR/VAN,WEST,SLOWING,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DRIVER UNFAMILIAR WITH AREA,0
120971,120972,201791320.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/8/2017 15:45,,25:00.0,E 8TH AVE / N ALBION ST,3157660.0,1690986.0,-104.9394581,39.72922452,2.0,222.0,Hale,0.0,0.0,SIGN,  ,SIGN,ON ROADWAY,AT INTERSECTION,  ,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,EAST,SLOWING,OTHER,NO APPARENT,  ,  ,  ,  ,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120970,120971,201791288.0,20179100000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/9/2017 13:00,,2/9/2017 13:36,3900 BLOCK E EVANS AVE,3156949.0,1672245.0,-104.9423949,39.67778859,3.0,314.0,University Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,NORTHWEST,MAKING LEFT TURN,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,AGGRESSIVE DRIVING,0
124433,124434,2017125314.0,201713000000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2017 11:00,,2/23/2017 11:57,N COLORADO BLVD / E 13TH AVE,3157302.0,1693710.0,-104.9406713,39.73670845,2.0,213.0,Congress Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,SUV,SOUTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DISTRACTED-OTHER,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DISTRACTED,0
120969,120970,201791225.0,20179100000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/9/2017 12:42,,09:00.0,W 6TH AVE / N FEDERAL BLVD,3133569.0,1689465.0,-105.0251375,39.72542597,1.0,411.0,Barnum,0.0,0.0,HIGHWAY BARRIER,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,SPUN OUT OF CONTROL,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,AGGRESSIVE DRIVING,0
124434,124435,2017141701.0,201714000000000.0,5441,0,TRAF - ACCIDENT               ,40:00.0,,3/2/2017 13:28,500 BLOCK E COLFAX AVE,3146092.0,1694826.0,-104.9805078,39.73995479,6.0,623.0,Capitol Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,CHANGING LANES,LANE VIOLATION,NO APPARENT,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
124435,124436,2017141770.0,201714000000000.0,5441,0,TRAF - ACCIDENT               ,3/2/2017 13:14,,3/2/2017 13:50,900 BLOCK W ALAMEDA AVE,3141422.0,1684171.0,-104.9973233,39.71077686,3.0,312.0,Baker,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,CHANGING LANES,LANE VIOLATION,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120968,120969,201791124.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 11:58,,2/9/2017 11:58,300 BLOCK S SANTA FE DR,3141625.0,1683983.0,-104.99660549999999,39.71025767,3.0,312.0,Baker,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,CHANGING LANES,FAILED TO YIELD ROW,DRIVER UNFAMILIAR WITH AREA,  ,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DRIVER UNFAMILIAR WITH AREA,0
120967,120968,201791116.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 11:50,,2/9/2017 12:49,6600 BLOCK E HAMPDEN AVE,3165609.0,1663142.0,-104.91183810000001,39.65264873,3.0,324.0,Hampden South,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,NO APPARENT,  ,PASSENGER CAR/VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
124436,124437,2017141776.0,201714000000000.0,5441,0,TRAF - ACCIDENT               ,3/2/2017 13:15,,3/2/2017 14:08,W 6TH AVE / N FEDERAL BLVD,3133569.0,1689507.0,-105.0251367,39.72554127,1.0,122.0,Barnum,0.0,0.0,HIGHWAY BARRIER,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,CHANGING LANES,LANE VIOLATION,DISTRACTED CELLPHONE,  ,VEHICLE OVER 10000 LBS,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DISTRACTED,0
120966,120967,201791101.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 11:45,,2/9/2017 11:53,200 BLOCK S BROADWAY ST,3144271.0,1684922.0,-104.9871818,39.7127948,3.0,311.0,Speer,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,CHANGING LANES,LANE VIOLATION,DISTRACTED-OTHER,  ,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DISTRACTED,0
120965,120966,201791044.0,20179100000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/7/2017 14:00,,2/9/2017 11:48,W 50TH AVE / N FOX ST,3142239.0,1711987.0,-104.9938685,39.78712412,1.0,112.0,Globeville,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,PARKED MV WITH OTHER VEHICLE,PARKED MV WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,HIT AND RUN UNKNOWN,EAST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,EAST,PARKED,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120964,120965,201790992.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 10:58,,2/9/2017 11:47,I25 HWYSB / S DOWNING ST,3148189.0,1676576.0,-104.97342739999999,39.68982168,3.0,313.0,Platt Park,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,VEHICLE OVER 10000 LBS,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
124437,124438,2017141795.0,201714000000000.0,5441,0,TRAF - ACCIDENT               ,3/2/2017 13:22,,39:00.0,1300 BLOCK LAWRENCE ST,3140741.0,1697056.0,-104.9994915,39.746159000000006,6.0,611.0,CBD,0.0,0.0,PARKED MV WITH OTHER VEHICLE,  ,PARKED MV WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,SOUTHWEST,BACKING,IMPROPER BACKING,NO APPARENT,  ,PASSENGER CAR/VAN,NORTHEAST,PARKED,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120963,120964,201790851.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 9:58,,2/9/2017 10:40,N COLORADO BLVD / E BRUCE RANDOLPH AVE,3157268.0,1703824.0,-104.9405707,39.76447358,2.0,212.0,Clayton,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,SOUTH,GOING STRAIGHT,CARELESS DRIVING,NO APPARENT,  ,SUV,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120962,120963,201790812.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 9:39,,2/9/2017 9:39,W 6TH AVE / N FOX ST,3141991.0,1689605.0,-104.9951935,39.72568563,1.0,311.0,Baker,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DISTRACTED RADIO,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DISTRACTED,0
120961,120962,201790798.0,20179100000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/8/2017 21:00,,2/9/2017 9:58,1200 BLOCK N WASHINGTON ST,3146630.0,1693395.0,-104.978624,39.73601797,6.0,623.0,Capitol Hill,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,SOUTH,WEAVING,CARELESS DRIVING,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,PARKED,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120960,120961,201790687.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 8:40,,2/9/2017 8:44,E 39TH AVE / N PEORIA ST,3183545.0,1706408.0,-104.84703590000001,39.77108567,5.0,512.0,Stapleton,0.0,0.0,LIGHT/UTILITY POLE,  ,  ,RAN OFF LEFT SIDE,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,DISTRACTED-OTHER,OTHER,  ,  ,  ,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,DISTRACTED,0
124438,124439,2017141829.0,201714000000000.0,5441,0,TRAF - ACCIDENT               ,3/2/2017 13:42,,3/2/2017 13:42,E 12TH AVE / N ADAMS ST,3155137.0,1693118.0,-104.9483821,39.73511964,2.0,213.0,Congress Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,MAKING RIGHT TURN,CARELESS DRIVING,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120959,120960,201790640.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 8:24,,2/9/2017 9:07,W KENTUCKY AVE / S PATTON CT,3129688.0,1680318.0,-105.03909990000001,39.70037036,4.0,412.0,Westwood,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,SOUTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120958,120959,201790591.0,20179100000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 8:08,,2/9/2017 8:08,3200 BLOCK N WILLIAMS ST,3150161.0,1703107.0,-104.96586599999999,39.76262273,2.0,211.0,Cole,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,NORTH,BACKING,CARELESS DRIVING,  ,  ,SUV,SOUTH,PARKED,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120979,120980,201791755.0,20179200000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 16:32,,2/9/2017 17:12,N SANTA FE DR / W 7TH AVE,3141029.0,1690193.0,-104.998602,39.72731443,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHWEST,MAKING LEFT TURN,TURNED FROM WRONG LANE OR POSITION,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120980,120981,201791834.0,20179200000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 17:00,,2/9/2017 18:02,E 17TH AVE / N HARRISON ST,3156943.0,1696278.0,-104.94189170000001,39.74376411,2.0,213.0,City Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,OTHER,NORTH,GOING STRAIGHT,  ,  ,  ,MOTORCYCLE,WEST,CHANGING LANES,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,OTHER,0
120981,120982,201791849.0,20179200000000.0,5441,0,TRAF - ACCIDENT               ,2/9/2017 17:15,,2/9/2017 17:15,I225 HWYSB / I25 HWYNB,3167207.0,1656083.0,-104.90632679999999,39.63324141,3.0,324.0,Hampden South,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,OTHER,  ,SUV,SOUTH,SLOWING,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
120994,120995,2017112152.0,201711000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2/17/2017 21:32,,2/17/2017 21:32,W 10TH AVE / N KNOX CT,3131584.0,1692192.0,-105.0321445,39.73294039,1.0,122.0,Villa Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,EAST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,OTHER,  ,PASSENGER CAR/VAN,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,OTHER,0
124423,124424,2017124923.0,201712000000000.0,5441,0,TRAF - ACCIDENT               ,2/23/2017 8:37,,2/23/2017 8:59,W 14TH AVE / N CHEROKEE ST,3142960.0,1694258.0,-104.991656,39.73844416,6.0,611.0,Civic Center,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DAY LIGHT,SUV,EAST,MAKING LEFT TURN,IMPROPER TURN,DRIVER INEXPERIENCE,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,DRIVER INEXPERIENCE,0
